BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b	mergedColors	inverted
AAEL000263	1.98112297284351	1.88196124561394	10.0094675160922	19.047134290393	1.95579414086451	5.16207577469646	0.533771732448501	0.685783200673389	2.52803758264951	0.135516439182169	0.440446982225926	0.705799931426001	turquoise	FALSE
AAEL000264	17.708575004196	27.348050747284	21.0288120569876	31.9597402680161	11.8266399464732	18.709416900222	6.2134134531107	6.47154235906543	9.72590984455266	10.998235988992	11.4487302072376	11.3319443926776	turquoise	FALSE
AAEL000265	44.6523991415434	46.2828040617771	41.5199576202374	31.9130915308289	34.940385590881	45.8852078109814	59.0816355545022	53.4812068119131	65.1910291047339	52.4367458690648	51.9593944477925	51.707407119077	turquoise	TRUE
AAEL000266	0.346845538567422	0.512732475585222	0.875924473754974	0.537756793142641	0.400419554390799	0.346260289305573	0.169403346745068	0.299105920450128	0	0	0.295940864134732	0.319030309560979	darkred	FALSE
AAEL000267	0.152630938633893	0.169222673311335	2.90842942988569	8.17730595542805	0.578963968386385	3.84742827589091	0.372733521789216	0.631789944231443	1.6095390929959	0.456171455306148	0.442782366475154	0.818945878652785	turquoise	FALSE
AAEL000269	424.172957362382	439.385363348748	952.906030191565	592.065326988358	1367.48086668096	1259.66955997248	559.924994381024	645.215856164639	1351.29830206328	1420.91674995781	1196.0319472209	1358.47771771597	magenta	FALSE
AAEL000271	11.4044820253748	13.8040743535146	25.3031194321187	10.0008775403944	15.5523386266048	31.0924396421546	14.9447023507949	17.8144129310161	24.5105599391804	39.2151661311782	76.7393213767371	46.1700216431111	magenta	FALSE
AAEL000273	70.0948263496672	76.0343514428788	98.1419544620976	98.2156433878329	97.2598490397723	77.9913216613455	34.9488223355811	40.6447170609845	41.9776037224675	37.4170622283843	48.0121468435295	57.6037956455755	darkred	FALSE
AAEL000276	13.1494306870696	12.1816615828181	37.8777996280401	62.6844854613031	19.2353008573326	29.4393408737105	12.7066750620349	17.2478931390746	21.7070649972502	15.8061971244982	23.8754619822333	21.944815521129	turquoise	FALSE
AAEL000277	18.6268590796437	20.8629608815686	20.7804207026646	15.4696863826536	16.6563507582045	41.1976737586128	21.5223890533342	26.0459994053656	24.6584775825311	34.5626983625513	53.2886095281834	43.9646829007045	magenta	FALSE
AAEL000279	9.70844860976162	11.098273294208	19.3610790129139	12.6143570236406	13.5690347335088	17.6079396535535	29.8031701889869	31.2183109530273	21.7514611937973	19.3643945253368	20.4281784401096	21.2526121334285	darkgreen	FALSE
AAEL000282	3.35599797757483	1.55033811863351	8.66786375019965	15.8136821431344	3.43890846688649	3.75680973578618	1.08470380834342	1.57472020057246	2.74880955107725	3.09754485114051	2.23181130093501	4.69082303911025	turquoise	FALSE
AAEL000284	9.03918483029378	10.0977113777501	18.5827795697386	17.8366959798853	14.1284256550256	18.3042268735246	20.8701609677029	22.3221505204388	19.3448984338355	14.6743888236925	21.3848026138629	21.3526050158915	magenta	FALSE
AAEL000290	4.08724834651037	2.85773572875478	8.30574264390697	4.13900401098366	6.17148577083399	7.92635894387151	12.0045308353668	9.57379803124914	10.3774449517119	10.5236168393162	9.04834936574176	14.1403565554879	darkred	TRUE
AAEL000293	259.885717796222	222.340002560618	99.7784993073422	112.705873434257	73.3843420225786	73.8377292509038	316.506325612354	280.519681232934	52.3784248864572	61.1820762140185	69.1449269731402	56.0065651437385	brown	FALSE
AAEL000297	30.9722927378812	35.6863282043302	38.6992007989306	27.8358083629925	28.9512578275803	24.6160102035776	66.4604513052918	76.4269005652804	61.2844129156234	59.5353226232368	39.6620401407005	43.6759856026893	darkgreen	FALSE
AAEL000300	1.12107372475969	1.16261390768867	4.30714814255973	5.85290979384691	3.13182373830485	4.71084295061449	3.65030193183688	3.94599914113239	3.31316691023647	3.47024127894112	4.66557118215294	5.36628960796256	magenta	FALSE
AAEL000301	23.167088807793	25.6466803002986	33.0087578353258	46.3956215081909	29.7917373077869	36.6367916234597	37.2684056762905	42.9207189094444	29.0508613342374	24.1124539390806	23.1472884509241	27.0085556116603	turquoise	FALSE
AAEL000304	4.38814032022928	4.63832963530811	5.30719064245868	4.55843702618016	6.17937476989262	6.27391839011964	6.94062831694281	6.8330379572583	8.31336194036504	7.80964533842889	22.8096332039239	31.5844890472295	magenta	FALSE
