agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00220515	0	0	5	9	0	0	362	503	56	57	317	281	912	1068	633	1263	3171	4413	1426	1042	2953	3001	10655	11463	10050	13234	2236	1745	1101	927	953	1251	422	348	14	6	13	1
Gene:WBGene00220516	0	0	1	0	7	4	0	0	28	28	35	50	4	10	1	1	14	17	5	6	6	9	16	20	8	40	17903	16757	18	17	15	17	16	19	17	25	7	4
Gene:WBGene00220518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Gene:WBGene00220519	15	0	268	274	22	33	300	399	50	57	304	297	3	2	4	0	8	2	8	14	43	69	3	0	1	0	30	18	101	112	71	107	120	117	20	22	39	16
Gene:WBGene00220522	2027	2575	117	117	9	0	120	116	4	2	15	26	8	23	8	15	36	57	42	34	41	38	198	191	166	188	364	295	233	260	256	247	257	279	128	102	241	53
Gene:WBGene00220524	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	416	0	0	0	3	0	0	0	0	0	0
Gene:WBGene00220525	1574	1079	2164	2241	122	158	3411	3869	498	404	2233	2218	345	566	294	484	1095	1300	955	870	891	813	1072	1347	1209	1272	2379	2010	2532	2728	2564	2856	2628	2740	408	376	735	277
Gene:WBGene00220526	1	21	39	41	3	20	414	493	111	132	851	956	170	249	137	256	244	281	226	150	362	268	259	232	208	177	138	118	84	68	76	103	133	128	436	316	694	180
Gene:WBGene00220527	34	16	26	37	11	0	1366	1947	629	598	8425	6999	611	744	461	541	1448	1446	1097	997	921	921	1082	1225	1072	1206	1370	1089	471	395	443	503	241	240	299	215	398	161
Gene:WBGene00220528	69	165	451	513	25	51	2732	2602	694	534	1393	1396	15	54	33	23	15	55	5	2	319	490	124	250	120	178	119	104	1087	1086	1007	1107	897	869	224	94	348	85
Gene:WBGene00220529	0	0	0	4	0	0	3	6	0	0	4	16	4	2	8	1	3	4	2	1	10	8	8	3	0	0	476	436	4	10	10	9	16	18	1	0	2	0
Gene:WBGene00220530	4	1	5	6	0	0	841	1392	286	222	1199	1286	29	74	46	33	79	65	36	14	28945	29926	3742	4655	1712	2277	864	765	584	697	397	572	955	1168	655	136	966	93
